userId,eventType,metadata,workflowId,templateName,templateType,created
5f25c13cc7c8ea1ac7a0f863,marked_scam,,Test,mySocialSecurity.html,webpage,2022-07-04T19:44:51.269Z
5f25c13cc7c8ea1ac7a0f863,marked_real,,Test,amazon_maskDelivery.html,email,2022-07-04T19:44:56.008Z
5f25c13cc7c8ea1ac7a0f863,marked_real,,Test,ssaFb.html,webpage,2022-07-04T19:45:00.543Z
608ed2b926a5b59e8a0990e1,marked_real,,Training,amazonHP.html,webpage,2022-07-04T19:45:09.175Z
608ed2b926a5b59e8a0990e1,email_details_expanded,,Training,irs.html,email,2022-07-04T19:45:16.754Z
5f25c13cc7c8ea1ac7a0f863,marked_real,,Test,ssa_optOut.html,email,2022-07-04T19:45:25.365Z
608ed2b926a5b59e8a0990e1,marked_scam,,Training,irs.html,email,2022-07-04T19:45:26.306Z
5f25c13cc7c8ea1ac7a0f863,marked_scam,,Test,ssa_replacementCard.html,email,2022-07-04T19:45:30.706Z
5f25c13cc7c8ea1ac7a0f863,marked_real,,Test,walmart.html,webpage,2022-07-04T19:45:32.946Z
612d54b792c80674acfa9f27,marked_real,,Test,redcross_covidRelief.html,email,2022-07-04T19:45:44.608Z
608ed2b926a5b59e8a0990e1,marked_real,,Training,IRS_YourAccount.html,webpage,2022-07-04T19:45:49.166Z
608ed2b926a5b59e8a0990e1,marked_real,,Training,appleID.html,webpage,2022-07-04T19:46:00.327Z
612d54b792c80674acfa9f27,marked_scam,,Test,ssa.html,webpage,2022-07-04T19:46:05.957Z
608ed2b926a5b59e8a0990e1,link_clicked,https://www.amazon.com.tv/stores/Arlo/page/14B5090A-C628-46A3-94CD-992C8F95F1E2?ref_=ast_bln,Training,amazonProductPage.html,webpage,2022-07-04T19:46:13.706Z
612d54b792c80674acfa9f27,marked_scam,,Test,mySocialSecurity.html,webpage,2022-07-04T19:46:16.145Z
612d54b792c80674acfa9f27,marked_real,,Test,amazon_maskDelivery.html,email,2022-07-04T19:46:25.194Z
